분기,피자 이름,총주문수량
가을(9~11월),The Classic Deluxe Pizza,629
가을(9~11월),The Hawaiian Pizza,612
가을(9~11월),The Barbecue Chicken Pizza,604
가을(9~11월),The Thai Chicken Pizza,596
가을(9~11월),The Pepperoni Pizza,589
가을(9~11월),The California Chicken Pizza,565
가을(9~11월),The Southwest Chicken Pizza,503
가을(9~11월),The Four Cheese Pizza,497
가을(9~11월),The Sicilian Pizza,492
가을(9~11월),The Big Meat Pizza,467
가을(9~11월),The Spicy Italian Pizza,453
가을(9~11월),The Italian Supreme Pizza,452
가을(9~11월),The Mexicana Pizza,389
가을(9~11월),The Pepper Salami Pizza,377
가을(9~11월),The Greek Pizza,373
가을(9~11월),The Prosciutto and Arugula Pizza,372
가을(9~11월),The Vegetables + Vegetables Pizza,364
가을(9~11월),The Napolitana Pizza,360
가을(9~11월),The Five Cheese Pizza,341
가을(9~11월),The Italian Capocollo Pizza,328
겨울(12~2월),The California Chicken Pizza,605
겨울(12~2월),The Pepperoni Pizza,601
겨울(12~2월),The Barbecue Chicken Pizza,594
겨울(12~2월),The Classic Deluxe Pizza,575
겨울(12~2월),The Hawaiian Pizza,571
겨울(12~2월),The Thai Chicken Pizza,569
겨울(12~2월),The Sicilian Pizza,485
겨울(12~2월),The Four Cheese Pizza,454
겨울(12~2월),The Italian Supreme Pizza,451
겨울(12~2월),The Southwest Chicken Pizza,433
겨울(12~2월),The Big Meat Pizza,430
겨울(12~2월),The Spicy Italian Pizza,427
겨울(12~2월),The Vegetables + Vegetables Pizza,403
겨울(12~2월),The Italian Capocollo Pizza,378
겨울(12~2월),The Prosciutto and Arugula Pizza,364
겨울(12~2월),The Five Cheese Pizza,345
겨울(12~2월),The Pepper Salami Pizza,345
겨울(12~2월),The Napolitana Pizza,341
겨울(12~2월),The Spinach and Feta Pizza,340
겨울(12~2월),"The Pepperoni, Mushroom, and Peppers Pizza",339
봄(3~5월),The Barbecue Chicken Pizza,639
봄(3~5월),The Hawaiian Pizza,635
봄(3~5월),The Classic Deluxe Pizza,630
봄(3~5월),The Thai Chicken Pizza,610
봄(3~5월),The Pepperoni Pizza,608
봄(3~5월),The California Chicken Pizza,578
봄(3~5월),The Spicy Italian Pizza,508
봄(3~5월),The Big Meat Pizza,506
봄(3~5월),The Four Cheese Pizza,504
봄(3~5월),The Italian Supreme Pizza,499
봄(3~5월),The Southwest Chicken Pizza,486
봄(3~5월),The Sicilian Pizza,476
봄(3~5월),The Spinach and Feta Pizza,403
봄(3~5월),The Vegetables + Vegetables Pizza,386
봄(3~5월),The Mexicana Pizza,376
봄(3~5월),The Pepper Salami Pizza,374
봄(3~5월),The Italian Capocollo Pizza,373
봄(3~5월),The Napolitana Pizza,368
봄(3~5월),The Greek Pizza,358
봄(3~5월),"The Pepperoni, Mushroom, and Peppers Pizza",346
여름(6~8월),The California Chicken Pizza,622
여름(6~8월),The Pepperoni Pizza,620
여름(6~8월),The Classic Deluxe Pizza,619
여름(6~8월),The Hawaiian Pizza,604
여름(6~8월),The Thai Chicken Pizza,596
여름(6~8월),The Barbecue Chicken Pizza,595
여름(6~8월),The Spicy Italian Pizza,536
여름(6~8월),The Big Meat Pizza,511
여름(6~8월),The Southwest Chicken Pizza,495
여름(6~8월),The Sicilian Pizza,485
여름(6~8월),The Italian Supreme Pizza,482
여름(6~8월),The Four Cheese Pizza,447
여름(6~8월),The Napolitana Pizza,395
여름(6~8월),The Spinach and Feta Pizza,385
여름(6~8월),The Mexicana Pizza,384
여름(6~8월),The Five Cheese Pizza,380
여름(6~8월),The Prosciutto and Arugula Pizza,380
여름(6~8월),The Vegetables + Vegetables Pizza,373
여름(6~8월),The Italian Capocollo Pizza,359
여름(6~8월),"The Pepperoni, Mushroom, and Peppers Pizza",358
